Name,Northing,Easting,Elevation,Type,Interval,Length,Bulge,Status
e451dd__45_start,6748846.4104,955019.4081,0,2,0,0,0,
e451dd__45_stop,6748842.4417,955020.3426,0,3,0,0,0.0,
e451dd__46_start_bulge,6748842.4417,955020.3426,0,2,0,0,0.3680063233135551,
e451dd__46_stop,6748831.0812,955035.78,0,3,0,0,0.0,
e451dd__47_start,6748831.0812,955035.78,0,2,0,0,0,
e451dd__47_stop,6748831.2088,955036.9292,0,3,0,0,0.0,
e451dd__48_start,6748831.2088,955036.9292,0,2,0,0,0,
e451dd__48_stop,6748831.4376,955038.1243,0,3,0,0,0.0,
e451dd__49_start,6748831.4376,955038.1243,0,2,0,0,0,
e451dd__49_stop,6748841.7178,955081.7973,0,3,0,0,0.0,
e451dd__50_start_bulge,6748841.7178,955081.7973,0,2,0,0,0.3691321474469427,
e451dd__50_stop,6748864.4786,955098.5517,0,3,0,0,0.0,
e451dd__51_start,6748864.4786,955098.5517,0,2,0,0,0,
e451dd__51_stop,6748866.1677,955098.3545,0,3,0,0,0.0,
e451dd__52_start,6748866.1677,955098.3545,0,2,0,0,0,
e451dd__52_stop,6748867.9056,955098.0112,0,3,0,0,0.0,
e451dd__53_start,6748867.9056,955098.0112,0,2,0,0,0,
e451dd__53_stop,6748898.172,955090.6043,0,3,0,0,0.0,
e451dd__54_start,6748898.172,955090.6043,0,2,0,0,0,
e451dd__54_stop,6748893.6545,955071.4079,0,3,0,0,0.0,
e451dd__55_start,6748893.6545,955071.4079,0,2,0,0,0,
e451dd__55_stop,6749065.5226,955030.9598,0,3,0,0,0.0,
e451dd__56_start,6749065.5226,955030.9598,0,2,0,0,0,
e451dd__56_stop,6749070.3749,955050.3651,0,3,0,0,0.0,
e451dd__57_start_bulge,6749070.3749,955050.3651,0,2,0,0,0.4024194836033848,
e451dd__57_stop,6749087.7735,955025.6985,0,3,0,0,0.0,
e451dd__58_start,6749087.7735,955025.6985,0,2,0,0,0,
e451dd__58_stop,6749087.4416,955023.9653,0,3,0,0,0.0,
e451dd__59_start,6749087.4416,955023.9653,0,2,0,0,0,
e451dd__59_stop,6749076.8485,954978.9504,0,3,0,0,0.0,
e451dd__60_start_bulge,6749076.8485,954978.9504,0,2,0,0,0.08807678579807143,
e451dd__60_stop,6749074.5072,954973.5324,0,3,0,0,0.0,
e451dd__61_start,6749074.5072,954973.5324,0,2,0,0,0,
e451dd__61_stop,6749074.3284,954973.2665,0,3,0,0,0.0,
e451dd__62_start,6749074.3284,954973.2665,0,2,0,0,0,
e451dd__62_stop,6749074.1318,954972.9891,0,3,0,0,0.0,
e451dd__63_start,6749074.1318,954972.9891,0,2,0,0,0,
e451dd__63_stop,6749043.584,954930.5414,0,3,0,0,0.0,
e451dd__64_start_bulge,6749043.584,954930.5414,0,2,0,0,-0.08833252779877486,
e451dd__64_stop,6749038.1806,954919.2905,0,3,0,0,0.0,
e451dd__65_start,6749038.1806,954919.2905,0,2,0,0,0,
e451dd__65_stop,6749037.9996,954918.603,0,3,0,0,0.0,
e451dd__66_start,6749037.9996,954918.603,0,2,0,0,0,
e451dd__66_stop,6749037.8458,954917.9837,0,3,0,0,0.0,
e451dd__67_start,6749037.8458,954917.9837,0,2,0,0,0,
e451dd__67_stop,6749025.6207,954866.0359,0,3,0,0,0.0,
e451dd__68_start_bulge,6749025.6207,954866.0359,0,2,0,0,-0.08751260859109657,
e451dd__68_stop,6749024.9638,954853.7231,0,3,0,0,0.0,
e451dd__69_start,6749024.9638,954853.7231,0,2,0,0,0,
e451dd__69_stop,6749025.0504,954853.0595,0,3,0,0,0.0,
e451dd__70_start,6749025.0504,954853.0595,0,2,0,0,0,
e451dd__70_stop,6749025.1554,954852.38,0,3,0,0,0.0,
e451dd__71_start,6749025.1554,954852.38,0,2,0,0,0,
e451dd__71_stop,6749033.5794,954800.6797,0,3,0,0,0.0,
e451dd__72_start_bulge,6749033.5794,954800.6797,0,2,0,0,0.08743351759734717,
e451dd__72_stop,6749033.4926,954794.7741,0,3,0,0,0.0,
e451dd__73_start,6749033.4926,954794.7741,0,2,0,0,0,
e451dd__73_stop,6749033.4291,954794.4661,0,3,0,0,0.0,
e451dd__74_start,6749033.4291,954794.4661,0,2,0,0,0,
e451dd__74_stop,6749033.3528,954794.127,0,3,0,0,0.0,
e451dd__75_start,6749033.3528,954794.127,0,2,0,0,0,
e451dd__75_stop,6749025.2481,954759.6848,0,3,0,0,0.0,
e451dd__76_start_bulge,6749025.2481,954759.6848,0,2,0,0,-0.3508105123249181,
e451dd__76_stop,6749054.1096,954699.4908,0,3,0,0,0.0,
e451dd__77_start,6749054.1096,954699.4908,0,2,0,0,0,
e451dd__77_stop,6749057.7798,954697.8982,0,3,0,0,0.0,
e451dd__78_start,6749057.7798,954697.8982,0,2,0,0,0,
e451dd__78_stop,6749061.4414,954696.6299,0,3,0,0,0.0,
e451dd__79_start,6749061.4414,954696.6299,0,2,0,0,0,
e451dd__79_stop,6749061.6893,954696.2685,0,3,0,0,0.0,
e451dd__80_start,6749061.6893,954696.2685,0,2,0,0,0,
e451dd__80_stop,6749057.1474,954676.9676,0,3,0,0,0.0,
e451dd__81_start,6749057.1474,954676.9676,0,2,0,0,0,
e451dd__81_stop,6749170.6077,954650.2654,0,3,0,0,0.0,
e451dd__82_start,6749170.6077,954650.2654,0,2,0,0,0,
e451dd__82_stop,6749175.1907,954669.7342,0,3,0,0,0.0,
e451dd__83_start,6749175.1907,954669.7342,0,2,0,0,0,
e451dd__83_stop,6749181.6708,954668.2081,0,3,0,0,0.0,
e451dd__84_start_bulge,6749181.6708,954668.2081,0,2,0,0,0.3693730277504941,
e451dd__84_stop,6749193.0284,954652.7751,0,3,0,0,0.0,
e451dd__85_start,6749193.0284,954652.7751,0,2,0,0,0,
e451dd__85_stop,6749192.9003,954651.6218,0,3,0,0,0.0,
e451dd__86_start,6749192.9003,954651.6218,0,2,0,0,0,
e451dd__86_stop,6749192.6723,954650.4306,0,3,0,0,0.0,
e451dd__87_start,6749192.6723,954650.4306,0,2,0,0,0,
e451dd__87_stop,6749173.1682,954654.8635,0,3,0,0,0.0,
e451dd__88_start,6749173.1682,954654.8635,0,2,0,0,0,
e451dd__88_stop,6749107.5235,954375.9218,0,3,0,0,0.0,
e451dd__89_start,6749107.5235,954375.9218,0,2,0,0,0,
e451dd__89_stop,6749126.9941,954371.3403,0,3,0,0,0.0,
e451dd__90_start_bulge,6749126.9941,954371.3403,0,2,0,0,-0.39475397446796345,
e451dd__90_stop,6749157.7849,954315.9494,0,3,0,0,0.0,
e451dd__91_start,6749157.7849,954315.9494,0,2,0,0,0,
e451dd__91_stop,6749161.2178,954315.0017,0,3,0,0,0.0,
e451dd__92_start,6749161.2178,954315.0017,0,2,0,0,0,
e451dd__92_stop,6749171.4968,954312.5812,0,3,0,0,0.0,
e451dd__93_start_bulge,6749171.4968,954312.5812,0,2,0,0,0.41437813360182674,
e451dd__93_stop,6749189.9279,954287.6748,0,3,0,0,0.0,
e451dd__94_start,6749189.9279,954287.6748,0,2,0,0,0,
e451dd__94_stop,6749189.596,954285.9383,0,3,0,0,0.0,
e451dd__95_start,6749189.596,954285.9383,0,2,0,0,0,
e451dd__95_stop,6749124.7971,954010.5981,0,3,0,0,0.0,
e451dd__96_start_bulge,6749124.7971,954010.5981,0,2,0,0,0.3689791407529615,
e451dd__96_stop,6749091.5616,953986.1533,0,3,0,0,0.0,
e451dd__97_start,6749091.5616,953986.1533,0,2,0,0,0,
e451dd__97_stop,6749089.0897,953986.4409,0,3,0,0,0.0,
e451dd__98_start,6749089.0897,953986.4409,0,2,0,0,0,
e451dd__98_stop,6749086.5834,953986.9365,0,3,0,0,0.0,
e451dd__99_start,6749086.5834,953986.9365,0,2,0,0,0,
e451dd__99_stop,6748763.3223,954063.0114,0,3,0,0,0.0,
e451dd__100_start_bulge,6748763.3223,954063.0114,0,2,0,0,0.029598111020025904,
e451dd__100_stop,6748653.9263,954095.6769,0,3,0,0,0.0,
e451dd__101_start,6748653.9263,954095.6769,0,2,0,0,0,
e451dd__101_stop,6748647.9701,954097.8708,0,3,0,0,0.0,
e451dd__102_start,6748647.9701,954097.8708,0,2,0,0,0,
e451dd__102_stop,6748642.0219,954100.1043,0,3,0,0,0.0,
e451dd__103_start,6748642.0219,954100.1043,0,2,0,0,0,
e451dd__103_stop,6748449.9954,954172.9142,0,3,0,0,0.0,
e451dd__104_start_bulge,6748449.9954,954172.9142,0,2,0,0,0.36739464323929855,
e451dd__104_stop,6748436.388,954197.6817,0,3,0,0,0.0,
e451dd__105_start,6748436.388,954197.6817,0,2,0,0,0,
e451dd__105_stop,6748436.7945,954199.334,0,3,0,0,0.0,
e451dd__106_start,6748436.7945,954199.334,0,2,0,0,0,
e451dd__106_stop,6748437.3507,954201.0103,0,3,0,0,0.0,
e451dd__107_start,6748437.3507,954201.0103,0,2,0,0,0,
e451dd__107_stop,6748449.8072,954233.8599,0,3,0,0,0.0,
e451dd__108_start_bulge,6748449.8072,954233.8599,0,2,0,0,0.09178673139689827,
e451dd__108_stop,6748503.8658,954322.7426,0,3,0,0,0.0,
e451dd__109_start,6748503.8658,954322.7426,0,2,0,0,0,
e451dd__109_stop,6748507.7836,954327.0285,0,3,0,0,0.0,
e451dd__110_start,6748507.7836,954327.0285,0,2,0,0,0,
e451dd__110_stop,6748512.135,954331.1938,0,3,0,0,0.0,
e451dd__111_start,6748512.135,954331.1938,0,2,0,0,0,
e451dd__111_stop,6748526.1107,954317.2675,0,3,0,0,0.0,
e451dd__112_start_bulge,6748526.1107,954317.2675,0,2,0,0,-0.07140044993303102,
e451dd__112_stop,6748618.3844,954439.668,0,3,0,0,0.0,
e451dd__113_start,6748618.3844,954439.668,0,2,0,0,0,
e451dd__113_stop,6748622.3648,954447.0416,0,3,0,0,0.0,
e451dd__114_start,6748622.3648,954447.0416,0,2,0,0,0,
e451dd__114_stop,6748627.7391,954457.3716,0,3,0,0,0.0,
e451dd__115_start,6748627.7391,954457.3716,0,2,0,0,0,
e451dd__115_stop,6748610.0008,954466.7299,0,3,0,0,0.0,
e451dd__116_start,6748610.0008,954466.7299,0,2,0,0,0,
e451dd__116_stop,6748620.2369,954487.7269,0,3,0,0,0.0,
e451dd__117_start,6748620.2369,954487.7269,0,2,0,0,0,
e451dd__117_stop,6748638.3494,954479.7906,0,3,0,0,0.0,
e451dd__118_start_bulge,6748638.3494,954479.7906,0,2,0,0,-0.06659857956271593,
e451dd__118_stop,6748678.6388,954617.652,0,3,0,0,0.0,
e451dd__119_start,6748678.6388,954617.652,0,2,0,0,0,
e451dd__119_stop,6748679.7557,954625.3905,0,3,0,0,0.0,
e451dd__120_start,6748679.7557,954625.3905,0,2,0,0,0,
e451dd__120_stop,6748681.1824,954636.386,0,3,0,0,0.0,
e451dd__121_start,6748681.1824,954636.386,0,2,0,0,0,
e451dd__121_stop,6748661.4149,954639.2325,0,3,0,0,0.0,
e451dd__122_start,6748661.4149,954639.2325,0,2,0,0,0,
e451dd__122_stop,6748665.7213,954663.3363,0,3,0,0,0.0,
e451dd__123_start,6748665.7213,954663.3363,0,2,0,0,0,
e451dd__123_stop,6748685.031,954659.2306,0,3,0,0,0.0,
e451dd__124_start_bulge,6748685.031,954659.2306,0,2,0,0,0.09961811708653671,
e451dd__124_stop,6748741.7111,954792.7455,0,3,0,0,0.0,
e451dd__125_start,6748741.7111,954792.7455,0,2,0,0,0,
e451dd__125_stop,6748746.2635,954799.2322,0,3,0,0,0.0,
e451dd__126_start,6748746.2635,954799.2322,0,2,0,0,0,
e451dd__126_stop,6748752.894,954808.2586,0,3,0,0,0.0,
e451dd__127_start,6748752.894,954808.2586,0,2,0,0,0,
e451dd__127_stop,6748737.1226,954820.4688,0,3,0,0,0.0,
e451dd__128_start_bulge,6748737.1226,954820.4688,0,2,0,0,0.01873552310323929,
e451dd__128_stop,6748755.3966,954842.5399,0,3,0,0,0.0,
e451dd__129_start_bulge,6748755.3966,954842.5399,0,2,0,0,-0.029897958253185704,
e451dd__129_stop,6748773.2887,954865.1761,0,3,0,0,0.0,
e451dd__130_start_bulge,6748773.2887,954865.1761,0,2,0,0,0.33249129308813713,
e451dd__130_stop,6748789.9843,954870.8018,0,3,0,0,0.0,
e451dd__131_start,6748789.9843,954870.8018,0,2,0,0,0,
e451dd__131_stop,6748790.9605,954870.4381,0,3,0,0,0.0,
e451dd__132_start,6748790.9605,954870.4381,0,2,0,0,0,
e451dd__132_stop,6748791.9737,954869.9775,0,3,0,0,0.0,
e451dd__133_start,6748791.9737,954869.9775,0,2,0,0,0,
e451dd__133_stop,6748813.6581,954859.2529,0,3,0,0,0.0,
e451dd__134_start_bulge,6748813.6581,954859.2529,0,2,0,0,-0.053344878566541264,
e451dd__134_stop,6748822.222,954856.0538,0,3,0,0,0.0,
e451dd__135_start,6748822.222,954856.0538,0,2,0,0,0,
e451dd__135_stop,6748822.595,954855.9579,0,3,0,0,0.0,
e451dd__136_start,6748822.595,954855.9579,0,2,0,0,0,
e451dd__136_stop,6748823.1453,954855.8253,0,3,0,0,0.0,
e451dd__137_start,6748823.1453,954855.8253,0,2,0,0,0,
e451dd__137_stop,6748850.8852,954849.2983,0,3,0,0,0.0,
e451dd__138_start,6748850.8852,954849.2983,0,2,0,0,0,
e451dd__138_stop,6748888.5807,955009.4848,0,3,0,0,0.0,
e451dd__139_start,6748888.5807,955009.4848,0,2,0,0,0,
e451dd__139_stop,6748870.6587,955014.0103,0,3,0,0,0.0,
e451dd__140_start,6748870.6587,955014.0103,0,2,0,0,0,
e451dd__140_stop,6748873.9601,955028.0459,0,3,0,0,0.0,
